year,generation (MWh),final CO2 (kg),index (g/kWh),index (lb/MWh)
2002,634837232.762,2.94010705847e+11,463.127697422,1021.01132174
2003,645403033.754,3.0141845084e+11,467.023603975,1029.60023732
2004,673016139.624,3.11336767085e+11,462.599258406,1019.84632508
2005,687169740.467,3.12112857177e+11,454.200525426,1001.33047835
2006,717315257.492,3.06523917384e+11,427.321061671,942.07201256
2007,739768922.307,3.38350896772e+11,457.373764387,1008.32620097
2008,755655528.559,3.37926288993e+11,447.196210736,985.888766189
2009,731623602.239,3.18126929068e+11,434.82321797,958.611266336
2010,725468180.75,3.15939634656e+11,435.497576654,960.097957491
2011,737287455.602,2.87073078474e+11,389.363844851,858.391532358
2012,741673313.368,2.97322044845e+11,400.880063346,883.780187653
2013,748471347.439,3.1598906326e+11,422.179238178,930.736348488
2014,745108765.979,3.0539663979e+11,409.868536963,903.596176588
2015,726815062.651,2.9699562637e+11,408.626130129,900.857166482
