year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,index (lb/MWh)
2001,1,18100943.283,4932762489.46,272.514112239,2001 Q1,600.784611843
2001,2,16666401.958,3317643390.48,199.061765031,2001 Q2,438.851567188
2001,3,18039915.467,3963632351.14,219.714574516,2001 Q3,484.382750978
2001,4,18082620.909,3262831358.13,180.44017925,2001 Q4,397.798419174
2002,1,61673160.949,22964229886.3,372.353703506,2002 Q1,820.89097475
2002,2,61635339.38,22763924652.6,369.332348642,2002 Q2,814.230095816
2002,3,72868203.502,31004027588.7,425.480883275,2002 Q3,938.015155267
2002,4,64640814.98,26479961527.0,409.647705327,2002 Q4,903.109331164
2003,1,65287858.036,27745453100.6,424.971103896,2003 Q1,936.891295649
2003,2,60658640.225,23136135044.9,381.415326145,2003 Q2,840.868228019
2003,3,72963735.006,30490525107.4,417.886023857,2003 Q3,921.271528196
2003,4,64913922.513,25507621243.4,392.945307508,2003 Q4,866.287224933
2004,1,69561000.5403,29204494904.6,419.840063796,2004 Q1,925.579404645
2004,2,64692177.6104,25062551691.5,387.412398488,2004 Q2,854.089373706
2004,3,71297183.5335,28410560506.7,398.48082489,2004 Q3,878.490826552
2004,4,63614934.0796,23582281554.6,370.703544629,2004 Q4,817.253034488
2005,1,68477430.593,26365765652.6,385.028547718,2005 Q1,848.833936298
2005,2,65503671.763,23984983388.6,366.162426366,2005 Q2,807.241685166
2005,3,80862239.973,33950588919.5,419.857141367,2005 Q3,925.617053857
2005,4,66472142.861,25318626931.7,380.890788862,2005 Q4,839.711833126
2006,1,65782138.276,22539454629.0,342.637913873,2006 Q1,755.379544924
2006,2,65176243.398,21594310715.6,331.321806685,2006 Q2,730.432055019
2006,3,78811595.72,28962600720.0,367.491616626,2006 Q3,810.172018013
2006,4,64632576.84,22191735712.3,343.35217312,2006 Q4,756.95420086
2007,1,69297883.147,25433656226.7,367.019237409,2007 Q1,809.130610792
2007,2,65923184.47,22966908533.0,348.38894264,2007 Q2,768.058262945
2007,3,77092052.285,28104884779.1,364.562674699,2007 Q3,803.714872642
2007,4,65713076.98,21470074113.8,326.724528823,2007 Q4,720.296896242
2008,1,65127121.481,20970285779.1,321.990060396,2008 Q1,709.859287149
2008,2,62414524.76,19879131668.3,318.501690828,2008 Q2,702.1688276
2008,3,73190403.012,24700834302.7,337.487338314,2008 Q3,744.024586048
2008,4,66650906.566,21123328748.6,316.924852742,2008 Q4,698.692530355
2009,1,66287308.267,20625462983.8,311.152519585,2009 Q1,685.966844678
2009,2,59648896.852,15737849405.2,263.841415948,2009 Q2,581.664785599
2009,3,68018285.641,19902667573.0,292.607603756,2009 Q3,645.08272324
2009,4,60826653.528,17185773302.2,282.53688647,2009 Q4,622.880819911
2010,1,61926876.011,18062192621.2,291.669688263,2010 Q1,643.014994745
2010,2,61983524.332,17993345326.2,290.292388503,2010 Q2,639.978599694
2010,3,77279861.084,26243443092.7,339.589677369,2010 Q3,748.659402728
2010,4,65444290.661,17671822225.2,270.02847837,2010 Q4,595.304783414
2011,1,63573811.895,18101415243.0,284.730688682,2011 Q1,627.717276268
2011,2,60974468.42,16252793524.9,266.550803084,2011 Q2,587.637900478
2011,3,73718822.496,22000046615.2,298.431877645,2011 Q3,657.922917456
2011,4,61969624.192,14781543793.8,238.528859688,2011 Q4,525.860724068
2012,1,62123486.386,14727995050.5,237.076118989,2012 Q1,522.658011923
2012,2,60685620.971,14733823038.1,242.789359362,2012 Q2,535.25342165
2012,3,73067680.374,21893763897.2,299.63677217,2012 Q3,660.579227925
2012,4,60083354.429,15585184379.8,259.392714138,2012 Q4,571.857177588
2013,1,61531985.637,16805853915.4,273.123867878,2013 Q1,602.128879125
2013,2,59624187.04,14385388965.6,241.267674744,2013 Q2,531.89871574
2013,3,69563767.515,18806355704.4,270.346997816,2013 Q3,596.006991385
2013,4,60779301.654,13904102352.3,228.763772763,2013 Q4,504.332613434
2014,1,62946015.598,18554581519.7,294.769753787,2014 Q1,649.849399198
2014,2,58481566.004,13555445571.3,231.79005792,2014 Q2,511.004361691
2014,3,66920710.981,16841624701.2,251.665358218,2014 Q3,554.821448726
2014,4,59243143.898,12939285346.4,218.40983606,2014 Q4,481.506324577
2015,1,61494090.225,17550752240.2,285.405510935,2015 Q1,629.204989408
2015,2,58844316.491,13125503324.3,223.054733354,2015 Q2,491.746465152
2015,3,70232928.485,18689914176.6,266.113268801,2015 Q3,586.673312398
2015,4,57386150.294,12805752934.2,223.150583697,2015 Q4,491.957776819
